datetime,light
2008-07-15 00:02:00,0
2008-07-15 00:12:00,0
2008-07-15 00:22:00,0
2008-07-15 00:32:00,0
2008-07-15 00:42:00,0
2008-07-15 00:52:00,0
2008-07-15 01:02:00,0
2008-07-15 01:12:00,0
2008-07-15 01:22:00,0
2008-07-15 01:32:00,0
2008-07-15 01:42:00,0
2008-07-15 01:52:00,0
2008-07-15 02:02:00,0
2008-07-15 02:12:00,0
2008-07-15 02:22:00,0
2008-07-15 02:32:00,0
2008-07-15 02:42:00,0
2008-07-15 02:52:00,0
2008-07-15 03:02:00,0
2008-07-15 03:12:00,1
2008-07-15 03:22:00,19
2008-07-15 03:32:00,64
2008-07-15 03:42:00,64
2008-07-15 03:52:00,64
2008-07-15 04:02:00,64
2008-07-15 04:12:00,64
2008-07-15 04:22:00,64
2008-07-15 04:32:00,64
2008-07-15 04:42:00,64
2008-07-15 04:52:00,64
2008-07-15 05:02:00,64
2008-07-15 05:12:00,64
2008-07-15 05:22:00,64
2008-07-15 05:32:00,64
2008-07-15 05:42:00,64
2008-07-15 05:52:00,64
2008-07-15 06:02:00,64
2008-07-15 06:12:00,64
2008-07-15 06:22:00,64
2008-07-15 06:32:00,64
2008-07-15 06:42:00,64
2008-07-15 06:52:00,64
2008-07-15 07:02:00,64
2008-07-15 07:12:00,64
2008-07-15 07:22:00,64
2008-07-15 07:32:00,64
2008-07-15 07:42:00,64
2008-07-15 07:52:00,64
2008-07-15 08:02:00,64
2008-07-15 08:12:00,64
2008-07-15 08:22:00,64
2008-07-15 08:32:00,64
2008-07-15 08:42:00,64
2008-07-15 08:52:00,64
2008-07-15 09:02:00,64
2008-07-15 09:12:00,64
2008-07-15 09:22:00,64
2008-07-15 09:32:00,64
2008-07-15 09:42:00,64
2008-07-15 09:52:00,64
2008-07-15 10:02:00,64
2008-07-15 10:12:00,64
2008-07-15 10:22:00,64
2008-07-15 10:32:00,64
2008-07-15 10:42:00,64
2008-07-15 10:52:00,64
2008-07-15 11:02:00,64
2008-07-15 11:12:00,64
2008-07-15 11:22:00,64
2008-07-15 11:32:00,64
2008-07-15 11:42:00,64
2008-07-15 11:52:00,64
2008-07-15 12:02:00,64
2008-07-15 12:12:00,64
2008-07-15 12:22:00,64
2008-07-15 12:32:00,64
2008-07-15 12:42:00,64
2008-07-15 12:52:00,64
2008-07-15 12:52:00,64
2008-07-15 13:02:00,64
2008-07-15 13:12:00,64
2008-07-15 13:22:00,64
2008-07-15 13:32:00,64
2008-07-15 13:42:00,64
2008-07-15 13:52:00,64
2008-07-15 14:02:00,64
2008-07-15 14:12:00,64
2008-07-15 14:22:00,64
2008-07-15 14:32:00,64
2008-07-15 14:42:00,64
2008-07-15 14:52:00,64
2008-07-15 15:02:00,64
2008-07-15 15:12:00,64
2008-07-15 15:22:00,64
2008-07-15 15:32:00,64
2008-07-15 15:42:00,64
2008-07-15 15:52:00,64
2008-07-15 16:02:00,64
2008-07-15 16:12:00,64
2008-07-15 16:22:00,64
2008-07-15 16:32:00,64
2008-07-15 16:42:00,64
2008-07-15 16:52:00,64
2008-07-15 17:02:00,64
2008-07-15 17:12:00,64
2008-07-15 17:22:00,64
2008-07-15 17:32:00,64
2008-07-15 17:42:00,64
2008-07-15 17:52:00,64
2008-07-15 18:02:00,64
2008-07-15 18:12:00,64
2008-07-15 18:22:00,64
2008-07-15 18:32:00,64
2008-07-15 18:42:00,64
2008-07-15 18:52:00,64
2008-07-15 19:02:00,64
2008-07-15 19:12:00,64
2008-07-15 19:22:00,64
2008-07-15 19:32:00,64
2008-07-15 19:42:00,42
2008-07-15 19:52:00,5
2008-07-15 20:02:00,0
2008-07-15 20:12:00,0
2008-07-15 20:22:00,0
2008-07-15 20:32:00,0
